messageID,sendMessage,replyMessage,sendMessageTime,replyTimeMessage
46,I couldn't believe that last catch!," ""It was a game-changer; for sure."""," ""2023-11-04 12:40:00"""," ""2023-11-04 12:45:00"""
47,Do you play cricket in your free time?," ""I do; it's a fun sport."""," ""2023-11-04 12:50:00"""," ""2023-11-04 12:55:00"""
48,We should organize a friendly match.," ""That sounds like a great idea."""," ""2023-11-04 13:00:00"""," ""2023-11-04 13:05:00"""
49,It'll be a fun way to stay active.," ""And relive some stadium moments."""," ""2023-11-04 13:10:00"""," ""2023-11-04 13:15:00"""
50,Did you try the stadium's famous snacks?," ""I had a hot dog and some popcorn."""," ""2023-11-04 13:20:00"""," ""2023-11-04 13:25:00"""
51,I should join you next time.," ""We'll enjoy the snacks and the game."""," ""2023-11-04 13:30:00"""," ""2023-11-04 13:35:00"""
52,I'm already excited for the next match.," ""It can't come soon enough!"""," ""2023-11-04 13:40:00"""," ""2023-11-04 13:45:00"""
53,The players' dedication is inspiring.," ""They give it their all."""," ""2023-11-04 13:50:00"""," ""2023-11-04 13:55:00"""
54,I hope they continue to make us proud.," ""They're our heroes."""," ""2023-11-04 14:00:00"""," ""2023-11-04 14:05:00"""
55,Let's catch up soon.," ""Yes; we have a lot to discuss."""," ""2023-11-04 14:10:00"""," ""2023-11-04 14:15:00"""
56,I'm looking forward to it.," ""Me too! Until then."""," ""2023-11-04 14:20:00"""," ""2023-11-04 14:25:00"""
57,"Take care, my friend!"," ""You too; talk to you later!"""," ""2023-11-04 14:30:00"""," ""2023-11-04 14:35:00"""
58,Goodbye for now!," ""Goodbye!"""," ""2023-11-04 14:40:00"""," ""2023-11-04 14:45:00"""
59,Hi! Have you started preparing for the AI exam?," ""I've just started reviewing the materials."""," ""2023-11-06 09:00:00"""," ""2023-11-06 09:15:00"""
60,I'm a bit worried about the AI exam.," ""Don't stress, we've got this!"""," ""2023-11-06 09:20:00"""," ""2023-11-06 09:25:00"""
61,I'll be revising the neural networks section.," ""That's a crucial part of the course."""," ""2023-11-06 09:30:00"""," ""2023-11-06 09:35:00"""
62,I'm also going over machine learning algorithms.," ""Solid choice; they often come up."""," ""2023-11-06 09:40:00"""," ""2023-11-06 09:45:00"""
63,Do you have any practice exams?," ""I've found a few online; I can share them."""," ""2023-11-06 09:50:00"""," ""2023-11-06 09:55:00"""
64,I'd appreciate that; practice is key.," ""Definitely,  it helps to gauge our progress."""," ""2023-11-06 10:00:00"""," ""2023-11-06 10:05:00"""
65,I'm also working on a project for the course.," ""Oh,  the project has been challenging."""," ""2023-11-06 10:10:00"""," ""2023-11-06 10:15:00"""
66,I think it's a great way to apply what we've learned.," ""You're right; it's a valuable experience."""," ""2023-11-06 10:20:00"""," ""2023-11-06 10:25:00"""
67,We should set up a study session together.," ""That's a great idea; it'll keep us motivated."""," ""2023-11-06 10:30:00"""," ""2023-11-06 10:35:00"""
68,I'm available this weekend; does that work for you?," ""Perfect,  let's plan a productive session."""," ""2023-11-06 10:40:00"""," ""2023-11-06 10:45:00"""
69,"Hi, how's your AI exam preparation going?"," ""I've made progress but there's still a lot to cover."""," ""2023-11-06 10:50:00"""," ""2023-11-06 10:55:00"""
70,The AI course is quite comprehensive.," ""It sure is; it covers a lot of ground."""," ""2023-11-06 11:00:00"""," ""2023-11-06 11:05:00"""
71,I've been working on my AI project too.," ""The project is challenging,  isn't it?"""," ""2023-11-06 11:10:00"""," ""2023-11-06 11:15:00"""
72,I've had my share of late nights debugging.," ""Haha, debugging is an essential skill."""," ""2023-11-06 11:20:00"""," ""2023-11-06 11:25:00"""
73,I hope we'll have enough time to revise everything.," ""We'll make the most of the time we have."""," ""2023-11-06 11:30:00"""," ""2023-11-06 11:35:00"""
74,Do you have any AI-related resources to recommend?," ""I've found some great online courses."""," ""2023-11-06 11:40:00"""," ""2023-11-06 11:45:00"""
75,Please share them with me; they'll be helpful.," ""I'll send you the links after our chat."""," ""2023-11-06 11:50:00"""," ""2023-11-06 11:55:00"""
76,Let's make a study plan for the week.," ""A structured plan is the key to success."""," ""2023-11-06 12:00:00"""," ""2023-11-06 12:05:00"""
77,I'll focus on the theory and algorithms this week.," ""And I'll work on practical coding exercises."""," ""2023-11-06 12:10:00"""," ""2023-11-06 12:15:00"""
78,We should also take breaks and stay refreshed.," ""Agreed; breaks boost productivity."""," ""2023-11-06 12:20:00"""," ""2023-11-06 12:25:00"""
79,I've organized my AI notes and resources.," ""Good organization will save us time."""," ""2023-11-06 12:30:00"""," ""2023-11-06 12:35:00"""
80,I've set up a quiet study space at home.," ""A conducive environment is essential."""," ""2023-11-06 12:40:00"""," ""2023-11-06 12:45:00"""
81,The AI exam will test our problem-solving skills.," ""We've improved a lot in that area."""," ""2023-11-06 12:50:00"""," ""2023-11-06 12:55:00"""
82,I'm feeling more confident about the exam.," ""That's the spirit; confidence is key."""," ""2023-11-06 13:00:00"""," ""2023-11-06 13:05:00"""
83,Let's go over some AI concepts together.," ""That's a great way to reinforce our learning."""," ""2023-11-06 13:10:00"""," ""2023-11-06 13:15:00"""
84,We'll quiz each other on AI topics.," ""It's an effective way to test our knowledge."""," ""2023-11-06 13:20:00"""," ""2023-11-06 13:25:00"""
85,"Take care, my friend!"," ""You too; we've got this!"""," ""2023-11-06 13:30:00"""," ""2023-11-06 13:35:00"""
86,Good luck with your studies!," ""Thank you; let's excel in the exam!"""," ""2023-11-06 13:40:00"""," ""2023-11-06 13:45:00"""
87,Hi! How's your daily routine these days?," ""It's been pretty hectic lately."""," ""2023-11-08 08:00:00"""," ""2023-11-08 08:15:00"""
88,I can relate; work and study keep me busy.," ""Balancing both is a challenge."""," ""2023-11-08 08:20:00"""," ""2023-11-08 08:25:00"""
89,I've been trying to incorporate some exercise.," ""That's a great way to stay healthy."""," ""2023-11-08 08:30:00"""," ""2023-11-08 08:35:00"""
90,I'm considering starting yoga; it's so calming.," ""Yoga can be a fantastic choice."""," ""2023-11-08 08:40:00"""," ""2023-11-08 08:45:00"""
91,What's your daily work schedule like?," ""I start early in the morning,  finish in the evening."""," ""2023-11-08 08:50:00"""," ""2023-11-08 08:55:00"""
92,"I have a mix of meetings, coding, and research."," ""Sounds demanding but exciting."""," ""2023-11-08 09:00:00"""," ""2023-11-08 09:05:00"""
93,I've been trying to add reading to my daily routine.," ""Reading is a wonderful habit."""," ""2023-11-08 09:10:00"""," ""2023-11-08 09:15:00"""
94,What's on your reading list?," ""Currently,  I'm into science fiction."""," ""2023-11-08 09:20:00"""," ""2023-11-08 09:25:00"""
95,I've been trying to meditate daily for relaxation.," ""Meditation is great for reducing stress."""," ""2023-11-08 09:30:00"""," ""2023-11-08 09:35:00"""
96,What's your meditation routine like?," ""I meditate in the morning for 15 minutes."""," ""2023-11-08 09:40:00"""," ""2023-11-08 09:45:00"""
97,I've started cooking more at home.," ""Homemade meals are healthier."""," ""2023-11-08 09:50:00"""," ""2023-11-08 09:55:00"""
98,I've been experimenting with new recipes.," ""That's a fun way to learn cooking."""," ""2023-11-08 10:00:00"""," ""2023-11-08 10:05:00"""
99,What's your favorite dish to cook?," ""I love making pasta from scratch."""," ""2023-11-08 10:10:00"""," ""2023-11-08 10:15:00"""
100,Let's share some of our daily routine tips.," ""Absolutely; it'll be helpful."""," ""2023-11-08 10:20:00"""," ""2023-11-08 10:25:00"""
101,How's your day going?," ""Art courses can deepen your appreciation."""," ""2023-11-11 08:00:00"""," ""2023-11-11 08:30:00"""
102,Do you have any plans for the evening?," ""Blogging is a great way to share your thoughts."""," ""2023-11-11 09:00:00"""," ""2023-11-11 09:45:00"""
103,I watched a fascinating TED Talk yesterday.," ""Cooking is a valuable skill to have."""," ""2023-11-11 10:00:00"""," ""2023-11-11 10:30:00"""
104,I enjoy learning from diverse perspectives.," ""Gardening can be very therapeutic."""," ""2023-11-11 11:00:00"""," ""2023-11-11 11:15:00"""
105,I've been experimenting with photography.," ""How about trying a classic novel?"""," ""2023-11-11 12:00:00"""," ""2023-11-11 12:30:00"""
106,What kind of subjects do you like to shoot?," ""I attended a local art exhibition."""," ""2023-11-11 13:00:00"""," ""2023-11-11 13:45:00"""
107,I've been trying to improve my cooking skills.," ""I have basil, mint and rosemary."""," ""2023-11-11 14:00:00"""," ""2023-11-11 14:45:00"""
108,What's your favorite dish to prepare?," ""I love beach destinations for relaxation."""," ""2023-11-11 15:00:00"""," ""2023-11-11 15:30:00"""
109,Have you been to any interesting events lately?," ""I might try out a new restaurant. You?"""," ""2023-11-11 16:00:00"""," ""2023-11-11 16:45:00"""
110,What kind of art did you see at the exhibition?," ""I plan to grow a variety of herbs."""," ""2023-11-11 17:00:00"""," ""2023-11-11 17:30:00"""
111,I've been considering a weekend getaway.," ""I set aside 10 minutes in the morning."""," ""2023-11-11 18:00:00"""," ""2023-11-11 18:15:00"""
112,What's your favorite destination for a quick escape?," ""I usually enjoy a good book or a movie."""," ""2023-11-11 18:30:00"""," ""2023-11-11 18:45:00"""
113,I've started listening to a new podcast series.," ""I'm currently into baking bread."""," ""2023-11-11 19:00:00"""," ""2023-11-11 19:30:00"""
114,What's the podcast about? Anything interesting?," ""I'm drawn to landscapes and portraits."""," ""2023-11-11 20:00:00"""," ""2023-11-11 20:15:00"""
115,Thinking about taking up gardening as a hobby.," ""I'm intrigued by surrealism and abstract art."""," ""2023-11-11 20:30:00"""," ""2023-11-11 20:45:00"""
116,What plants are you considering for your garden?," ""I'm leaning towards Spanish; it's beautiful."""," ""2023-11-11 21:00:00"""," ""2023-11-11 21:15:00"""
117,I've been looking into art appreciation courses.," ""I'm thinking of a travel and food blog."""," ""2023-11-11 21:30:00"""," ""2023-11-11 21:45:00"""
118,What art style interests you the most?," ""I'm thinking of the Natural History Museum."""," ""2023-11-11 22:00:00"""," ""2023-11-11 22:15:00"""
119,I'm considering a day trip to a nearby museum.," ""It featured a mix of modern and traditional art."""," ""2023-11-11 22:30:00"""," ""2023-11-11 22:45:00"""
120,Do you have a favorite museum in mind?," ""It's a great way to broaden your horizons."""," ""2023-11-11 23:00:00"""," ""2023-11-11 23:15:00"""
121,How do you unwind after a busy day?," ""It's about the history of ancient civilizations."""," ""2023-11-11 23:30:00"""," ""2023-11-11 23:45:00"""
122,Any book or movie recommendations for me?," ""I've been growing a small herb garden."""," ""2023-11-11 23:59:00"""," ""2023-11-12 00:15:00"""
123,I've been thinking about learning a new language.," ""Just finished a good book. How about you?"""," ""2023-11-12 00:30:00"""," ""2023-11-12 00:45:00"""
124,Which language are you considering?," ""Learning a new language is a great idea!"""," ""2023-11-12 01:00:00"""," ""2023-11-12 01:15:00"""
125,Have you ever tried your hand at gardening?," ""Mindfulness can bring peace to your life."""," ""2023-11-12 01:30:00"""," ""2023-11-12 01:45:00"""
126,What herbs are you cultivating in your garden?," ""Museum visits are always enriching."""," ""2023-11-12 02:00:00"""," ""2023-11-12 02:15:00"""
127,I've been considering starting a blog.," ""Photography is a wonderful creative outlet."""," ""2023-11-12 02:30:00"""," ""2023-11-12 02:45:00"""
128,What would your blog be about?," ""Podcasts are a great way to learn."""," ""2023-11-12 03:00:00"""," ""2023-11-12 03:15:00"""
129,I've been practicing mindfulness meditation.," ""TED Talks can be very inspiring."""," ""2023-11-12 03:30:00"""," ""2023-11-12 03:45:00"""
130,How do you find time for mindfulness in your day?," ""Weekend getaways can be so refreshing."""," ""2023-11-12 04:00:00"""," ""2023-11-12 04:15:00"""
131,Have you ever tried scuba diving?," ""Yes,  I love the outdoors and the tranquility."""," ""2023-11-16 08:00:00"""," ""2023-11-16 08:45:00"""
132,Scuba diving can be a thrilling experience.," ""Road trips can be full of surprises."""," ""2023-11-16 09:00:00"""," ""2023-11-16 09:30:00"""
133,What's your favorite music genre?," ""Photography is a great way to capture moments."""," ""2023-11-16 10:00:00"""," ""2023-11-16 10:45:00"""
134,I've been considering a spontaneous road trip.," ""Pets can bring so much joy to your life."""," ""2023-11-16 11:00:00"""," ""2023-11-16 11:30:00"""
135,Do you have a destination in mind?," ""I've been exploring new music genres."""," ""2023-11-16 12:00:00"""," ""2023-11-16 12:45:00"""
136,I'm planning to visit an art exhibition.," ""It's about ancient civilizations and their mysteries."""," ""2023-11-16 13:00:00"""," ""2023-11-16 13:30:00"""
137,What type of art will be on display?," ""I'm thinking of a national park."""," ""2023-11-16 14:00:00"""," ""2023-11-16 14:45:00"""
138,I'm thinking about redecorating my home office.," ""I'm thinking of a coastal town."""," ""2023-11-16 15:00:00"""," ""2023-11-16 15:30:00"""
139,What changes are you planning for your office?," ""I'm thinking about yoga and cardio."""," ""2023-11-16 16:00:00"""," ""2023-11-16 16:45:00"""
140,I've been watching a documentary series.," ""I'm thinking about adopting a rescue dog."""," ""2023-11-16 17:00:00"""," ""2023-11-16 17:30:00"""
141,What's the topic of the documentary series?," ""I'm planning to have roses and sunflowers."""," ""2023-11-16 18:00:00"""," ""2023-11-16 18:30:00"""
142,I'm considering a camping trip in the mountains.," ""I'm excited to see contemporary art."""," ""2023-11-16 19:00:00"""," ""2023-11-16 19:45:00"""
143,Have you been on a camping trip before?," ""I'm considering a weekend hiking trip."""," ""2023-11-16 20:00:00"""," ""2023-11-16 20:30:00"""
144,I've been thinking about adopting a pet.," ""I'm aiming for a minimalist and cozy feel."""," ""2023-11-16 21:00:00"""," ""2023-11-16 21:45:00"""
145,What type of pet are you considering?," ""I visited an old castle; it was remarkable."""," ""2023-11-16 22:00:00"""," ""2023-11-16 22:30:00"""
146,I've been trying out new restaurants in town.," ""I haven't tried it yet,  but I'm curious."""," ""2023-11-16 23:00:00"""," ""2023-11-16 23:45:00"""
147,Any memorable dish you've tried recently?," ""I had an amazing sushi platter."""," ""2023-11-16 23:59:00"""," ""2023-11-17 00:30:00"""
148,I've been exploring historical sites in the city.," ""I enjoy rock,  but I'm open to new sounds."""," ""2023-11-17 01:00:00"""," ""2023-11-17 01:45:00"""
149,Which historical site impressed you the most?," ""I enjoy nature and wildlife photography."""," ""2023-11-17 02:00:00"""," ""2023-11-17 02:30:00"""
150,I'm considering starting a home garden.," ""I baked a delicious chocolate cake."""," ""2023-11-17 03:00:00"""," ""2023-11-17 03:45:00"""
151,What plants do you want to grow in your garden?," ""History can be so fascinating to learn."""," ""2023-11-17 04:00:00"""," ""2023-11-17 04:30:00"""
152,I've been thinking about taking up photography.," ""Gardening is a lovely and relaxing hobby."""," ""2023-11-17 05:00:00"""," ""2023-11-17 05:45:00"""
153,What kind of photography are you interested in?," ""Exploring new cuisines is always fun."""," ""2023-11-17 06:00:00"""," ""2023-11-17 06:30:00"""
154,I've been experimenting with homemade desserts.," ""Exercise is great for staying fit."""," ""2023-11-17 07:00:00"""," ""2023-11-17 07:45:00"""
155,Any favorite dessert you've made recently?," ""Documentaries can be very educational."""," ""2023-11-17 08:00:00"""," ""2023-11-17 08:30:00"""
156,I'm considering a new workout routine.," ""Camping in the mountains is breathtaking."""," ""2023-11-17 09:00:00"""," ""2023-11-17 09:45:00"""
157,What type of workout are you planning?," ""Books can be a source of growth."""," ""2023-11-17 10:00:00"""," ""2023-11-17 10:30:00"""
158,I've been reading a book on personal development.," ""Baking can be so much fun."""," ""2023-11-17 11:00:00"""," ""2023-11-17 11:45:00"""
159,What's the most valuable lesson you've learned?," ""Art exhibitions are a visual treat."""," ""2023-11-17 12:00:00"""," ""2023-11-17 12:30:00"""
160,Where do you plan to go for the hike?," ""A well-designed workspace is important."""," ""2023-11-17 13:00:00"""," ""2023-11-17 13:45:00"""
161,I've been thinking about a beach vacation.," ""Art exhibitions are visually stimulating."""," ""2023-11-18 08:00:00"""," ""2023-11-18 08:45:00"""
162,What's your favorite beach destination?," ""Baking is a creative and delicious endeavor."""," ""2023-11-18 09:00:00"""," ""2023-11-18 09:30:00"""
163,I'm considering taking up painting as a hobby.," ""Beach vacations are so relaxing."""," ""2023-11-18 10:00:00"""," ""2023-11-18 10:45:00"""
164,What type of painting are you interested in?," ""Camping is an adventure in nature."""," ""2023-11-18 11:00:00"""," ""2023-11-18 11:30:00"""
165,I've been exploring new hiking trails.," ""Cooking is such a creative outlet."""," ""2023-11-18 12:00:00"""," ""2023-11-18 12:45:00"""
166,What's the most beautiful trail you've hiked?," ""Exploring history can be so enriching."""," ""2023-11-18 13:00:00"""," ""2023-11-18 13:30:00"""
167,What would your blog be about?," ""Exploring new cuisines is always fun."""," ""2023-11-18 14:00:00"""," ""2023-11-18 14:45:00"""
168,I've been trying out new restaurants in town.," ""Gardening is a wonderful and peaceful hobby."""," ""2023-11-18 15:00:00"""," ""2023-11-18 15:30:00"""
169,Any memorable dish you've tried recently?," ""Hiking is a fantastic way to connect with nature."""," ""2023-11-18 16:00:00"""," ""2023-11-18 16:30:00"""
170,I'm planning to visit an art exhibition.," ""Hiking is a fantastic way to exercise."""," ""2023-11-18 17:00:00"""," ""2023-11-18 17:45:00"""
171,What type of art will be on display?," ""I baked a mouthwatering apple pie."""," ""2023-11-18 18:00:00"""," ""2023-11-18 18:30:00"""
172,I'm considering starting a home garden.," ""I enjoy classical and jazz."""," ""2023-11-18 19:00:00"""," ""2023-11-18 19:45:00"""
173,What plants do you want to grow in your garden?," ""I had an incredible seafood paella."""," ""2023-11-18 20:00:00"""," ""2023-11-18 20:30:00"""
174,I've been experimenting with homemade desserts.," ""I love tropical islands with clear waters."""," ""2023-11-18 21:00:00"""," ""2023-11-18 21:45:00"""
175,Any favorite dessert you've made recently?," ""I made a fantastic Thai curry."""," ""2023-11-18 22:00:00"""," ""2023-11-18 22:30:00"""
176,I'm thinking about taking up a new sport.," ""I usually meditate in the evening."""," ""2023-11-18 23:00:00"""," ""2023-11-18 23:45:00"""
177,What sport are you considering?," ""I'm considering a national forest."""," ""2023-11-18 23:59:00"""," ""2023-11-19 00:30:00"""
178,I've been watching a documentary on space.," ""I'm considering a weekend camping trip."""," ""2023-11-19 01:00:00"""," ""2023-11-19 01:30:00"""
179,What's the most fascinating space fact you've learned?," ""I'm considering a weekend getaway."""," ""2023-11-19 02:00:00"""," ""2023-11-19 02:45:00"""
180,Where are you planning to go for camping?," ""I'm considering starting a blog."""," ""2023-11-19 03:00:00"""," ""2023-11-19 03:30:00"""
181,I've been practicing mindfulness meditation.," ""I'm excited to see contemporary art."""," ""2023-11-19 04:00:00"""," ""2023-11-19 04:45:00"""
182,How do you find time for meditation in your day?," ""I'm interested in the Renaissance period."""," ""2023-11-19 05:00:00"""," ""2023-11-19 05:30:00"""
183,I'm considering a visit to a historical city.," ""I'm leaning towards French."""," ""2023-11-19 06:00:00"""," ""2023-11-19 06:30:00"""
184,What's your favorite historical era?," ""I'm planning to have roses and tulips."""," ""2023-11-19 07:00:00"""," ""2023-11-19 07:45:00"""
185,I've been exploring different hiking trails.," ""I'm thinking about adopting a rescue cat."""," ""2023-11-19 08:00:00"""," ""2023-11-19 08:30:00"""
186,What's the most challenging hike you've done?," ""I'm thinking about taking up a new language."""," ""2023-11-19 09:00:00"""," ""2023-11-19 09:45:00"""
187,Which language are you considering?," ""I'm thinking of a lifestyle and travel blog."""," ""2023-11-19 10:00:00"""," ""2023-11-19 10:30:00"""
188,I've been reading a science fiction novel.," ""I'm thinking of a national park."""," ""2023-11-19 11:00:00"""," ""2023-11-19 11:45:00"""
189,What's the plot of the novel you're reading?," ""I'm thinking of a quiet countryside retreat."""," ""2023-11-19 12:00:00"""," ""2023-11-19 12:45:00"""
190,What type of destination do you have in mind?," ""I'm thinking of trying out tennis."""," ""2023-11-19 13:00:00"""," ""2023-11-19 13:30:00"""
191,I've been experimenting with new recipes.," ""I'm thinking of watercolor landscapes."""," ""2023-11-19 14:00:00"""," ""2023-11-19 14:45:00"""
192,What's the most delicious dish you've cooked recently?," ""I'm thinking of yoga and strength training."""," ""2023-11-19 15:00:00"""," ""2023-11-19 15:30:00"""
193,I'm thinking about adopting a pet.," ""Mindfulness is a great way to relax."""," ""2023-11-19 16:00:00"""," ""2023-11-19 16:45:00"""
194,What kind of pet are you considering?," ""Music is such a mood lifter."""," ""2023-11-19 17:00:00"""," ""2023-11-19 17:30:00"""
195,I've been considering starting a fitness routine.," ""Painting is a great way to express yourself."""," ""2023-11-19 18:00:00"""," ""2023-11-19 18:45:00"""
196,What type of exercise are you planning to do?," ""Pets bring so much joy to your life."""," ""2023-11-19 19:00:00"""," ""2023-11-19 19:30:00"""
197,I've been exploring new music genres.," ""Physical activity is great for health."""," ""2023-11-19 20:00:00"""," ""2023-11-19 20:45:00"""
198,What's your favorite type of music?," ""Sci-fi novels can be very imaginative."""," ""2023-11-19 21:00:00"""," ""2023-11-19 21:30:00"""
199,I've been thinking about a camping trip.," ""Space documentaries are mind-blowing."""," ""2023-11-19 22:00:00"""," ""2023-11-19 22:45:00"""
200,Where do you plan to go camping?," ""Sports are a great way to stay active."""," ""2023-11-19 23:00:00"""," ""2023-11-19 23:45:00"""
